timestamp,breathing_rate (/api/v1/datatype/33/),heart_rate (/api/v1/datatype/19/),minute_ventilation (/api/v1/datatype/36/),cadence (/api/v1/datatype/53/),activity (/api/v1/datatype/49/)
362316166663,15,46,12775.36,0,0.0
362316166919,15,46,12775.36,0,0.0
362316167175,15,46,12775.36,0,0.0
362316167431,15,46,13147.2,0,0.015625
362316167687,15,46,13147.2,0,0.015625
362316167943,15,46,13147.2,0,0.0
362316168199,15,46,13147.2,0,0.015625
362316168455,15,46,13040.96,0,0.0
362316168711,15,46,13040.96,0,0.0
362316168967,15,46,13040.96,0,0.0
362316169223,15,46,13040.96,0,0.0
362316169479,15,46,13040.96,0,0.0
362316169735,15,46,13040.96,0,0.0
362316169991,15,46,13040.96,0,0.0
362316170247,15,46,13040.96,0,0.015625
362316170503,15,47,12456.64,0,0.0
362316170759,14,47,12456.64,0,0.0
362316171015,14,47,12456.64,0,0.015625
362316171271,13,47,12562.88,0,0.0
362316171527,14,47,12562.88,0,0.0
362316171783,14,46,12562.88,0,0.015625
362316172039,14,46,12562.88,0,0.0
362316172295,14,48,12390.24,0,0.015625
362316172551,14,48,12390.24,0,0.015625
362316172807,14,48,12390.24,0,0.0
362316173063,14,48,12390.24,0,0.0
362316173319,14,48,12390.24,0,0.0
362316173575,14,48,12005.12,0,0.0
362316173831,14,48,12005.12,0,0.015625
362316174087,14,48,12005.12,0,0.0
362316174343,13,48,12005.12,0,0.015625
362316174599,13,48,11580.16,0,0.015625
362316174855,13,48,11580.16,0,0.0
362316175111,13,48,11580.16,0,0.015625
362316175367,13,48,11341.12,0,0.015625
362316175623,13,48,11341.12,0,0.0
362316175879,13,48,11341.12,0,0.015625
362316176135,13,48,11341.12,0,0.0
362316176391,13,48,11367.68,0,0.0
362316176647,13,48,11367.68,0,0.015625
362316176903,13,48,11367.68,0,0.0
362316177159,13,48,11367.68,0,0.0
362316177415,14,48,12230.88,0,0.015625
362316177671,14,48,12230.88,0,0.0
362316177927,15,48,12230.88,0,0.015625
362316178183,15,48,12230.88,0,0.015625
362316178439,15,48,12284.0,0,0.0
362316178695,15,48,12284.0,0,0.015625
362316178951,15,48,12284.0,0,0.0
362316179207,15,48,12284.0,0,0.0
362316179463,15,48,12058.24,0,0.015625
362316179719,15,48,12058.24,0,0.0
362316179975,15,48,12058.24,0,0.015625
362316180231,15,48,12058.24,0,0.0
362316180487,15,48,12058.24,0,0.0
362316180743,15,48,12058.24,0,0.015625
362316180999,15,48,12058.24,0,0.015625
362316181255,15,48,12058.24,0,0.015625
362316181511,15,48,12058.24,0,0.015625
362316181767,15,49,12164.48,0,0.0
362316182023,15,49,12164.48,0,0.015625
362316182279,15,47,12164.48,0,0.0
362316182535,15,47,12297.28,0,0.015625
362316182791,15,48,12297.28,0,0.0
362316183047,15,48,12297.28,0,0.0
362316183303,15,48,12297.28,0,0.0
362316183559,15,48,12204.32,0,0.015625
