AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,13:50:30,866847,806512,7.214,48,34,0,100,2133,,,
7/10/14,13:51:00,866855,806401,7.229,48,34,0,100,3476,,,
7/10/14,13:51:30,866856,806296,7.242,49,34,0,100,3046,,,
7/10/14,13:52:00,866828,806198,7.251,48,34,0,100,2112,,,
7/10/14,13:52:30,866862,806195,7.255,48,34,0,100,1016,,,
7/10/14,13:53:00,866813,806075,7.265,49,34,0,100,2141,,,
7/10/14,13:53:30,866789,805648,7.315,48,34,0,100,11885,,,
7/10/14,13:54:00,866796,805577,7.324,49,34,0,100,2230,,,
7/10/14,13:54:30,866818,805594,7.325,48,34,0,100,101,,,
7/10/14,13:55:00,866741,805499,7.328,49,34,0,100,675,,,
7/10/14,13:55:30,866837,805533,7.335,48,34,0,100,1622,,,
7/10/14,13:56:00,866807,805410,7.346,48,34,0,100,2795,,,
7/10/14,13:56:30,866802,805326,7.356,48,34,0,100,2332,,,
7/10/14,13:57:00,866734,805176,7.367,48,34,0,100,2552,,,
7/10/14,13:57:30,866776,805134,7.377,48,34,0,100,2381,,,
7/10/14,13:58:00,866748,805029,7.387,48,34,0,100,2322,,,
7/10/14,13:58:30,866797,804996,7.397,48,34,0,100,2308,,,
7/10/14,13:59:00,866845,804958,7.407,48,34,0,100,2428,,,
7/10/14,13:59:30,866814,804850,7.417,48,34,0,100,2329,,,
7/10/14,14:00:00,866813,804769,7.427,48,34,0,100,2355,,,
7/10/14,14:00:30,866815,804691,7.437,48,34,0,100,2349,,,
7/10/14,14:01:00,866786,804580,7.447,48,34,0,100,2473,,,
7/10/14,14:01:30,866756,804471,7.457,48,34,0,100,2387,,,
7/10/14,14:02:00,866751,804384,7.467,48,34,0,100,2423,,,
7/10/14,14:02:30,866808,804357,7.477,48,34,0,100,2351,,,
7/10/14,14:03:00,866753,804225,7.487,48,34,0,100,2382,,,
7/10/14,14:03:30,866649,804048,7.498,49,34,0,100,2321,,,
7/10/14,14:04:00,866749,804062,7.507,49,34,0,100,2271,,,
7/10/14,14:04:30,866703,803937,7.518,48,34,0,100,2423,,,
7/10/14,14:05:00,866711,803867,7.527,48,34,0,100,2279,,,
7/10/14,14:05:30,866680,803761,7.537,49,34,0,100,2228,,,
7/10/14,14:06:00,866667,803667,7.547,48,34,0,100,2413,,,
7/10/14,14:06:30,866645,803567,7.557,48,34,0,100,2344,,,
7/10/14,14:07:00,866735,803565,7.568,49,34,0,100,2465,,,
7/10/14,14:07:30,866723,803470,7.578,48,34,0,100,2470,,,
7/10/14,14:08:00,866709,803374,7.588,48,34,0,100,2446,,,
7/10/14,14:08:30,866684,803271,7.598,48,34,0,100,2352,,,
7/10/14,14:09:00,866690,803196,7.608,48,34,0,100,2374,,,
7/10/14,14:09:30,866689,803113,7.618,48,34,0,100,2418,,,
7/10/14,14:10:00,866627,802978,7.628,48,34,0,100,2286,,,
