time [s],RR_interval_quality [NA](/api/datatype/1004/)
3092.859375,0
3093.75390625,0
3094.65625,0
3095.5390625,0
3096.29296875,0
3097.0,128
3097.7265625,0
3098.5,0
3099.3125,0
3100.1171875,0
3100.88671875,0
3101.62890625,0
3102.41796875,1
3103.25390625,1
3104.09375,1
3104.92578125,1
3105.7734375,1
3106.578125,1
3107.00390625,129
3107.359375,129
3108.1171875,1
3108.84375,1
3109.24609375,129
3109.53125,129
3110.51171875,1
3111.625,129
3112.41015625,1
3113.2109375,1
3114.09765625,1
3115.046875,1
3115.90234375,1
3116.69140625,0
3117.4765625,0
3118.23046875,0
3118.9921875,0
3119.80078125,0
3120.6015625,0
3121.41015625,0
3122.2265625,0
3123.0546875,0
3123.8515625,0
3124.66015625,0
3125.62109375,0
3126.671875,128
3127.6953125,128
3128.8125,128
3129.94140625,128
3130.4921875,128
3130.9296875,128
3131.82421875,0
3132.6796875,0
3133.50390625,0
3134.3359375,0
3135.1953125,0
3136.02734375,0
3136.86328125,0
3137.703125,0
3138.5625,0
3139.46484375,0
3140.30078125,0
3141.12890625,0
3141.9609375,0
3142.8046875,0
3143.67578125,0
3144.55859375,0
3145.42578125,0
3146.29296875,0
3147.1015625,0
3147.91796875,0
3148.71875,0
3149.48046875,0
3150.26953125,0
3151.04296875,0
3151.77734375,0
3152.53125,0
3153.3359375,0
3154.13671875,0
3154.890625,0
3155.625,0
3156.3828125,0
3157.19921875,0
3158.078125,0
3159.08984375,0
3160.16015625,128
3161.15625,0
3162.16796875,0
3163.17578125,0
3164.16796875,0
3165.0859375,0
3166.01171875,0
3166.9921875,0
3168.02734375,0
3168.98046875,0
3169.95703125,0
3170.984375,0
3172.0234375,0
3172.9921875,0
3173.92578125,0
3174.87890625,0
3175.83984375,0
3176.73046875,0
3177.671875,0
3178.51171875,0
3179.40625,0
3180.328125,0
3181.2578125,0
3182.12890625,0
3183.08984375,0
3184.2109375,0
3185.21484375,0
3186.15234375,0
3187.1484375,0
3188.16796875,0
3189.1171875,0
3190.0390625,0
3191.08984375,0
3192.015625,0
3192.890625,0
3193.83203125,0
3194.88671875,0
3196.09375,0
3197.03515625,0
3197.8828125,0
3198.69921875,0
3199.4921875,0
3200.28515625,0
3201.0625,0
3201.8359375,0
3202.76171875,0
3204.078125,128
3205.21484375,128
3206.33984375,128
3207.47265625,128
3208.5234375,0
3209.60546875,0
3210.6640625,0
3211.64453125,0
3212.6640625,0
3213.66015625,0
3214.5234375,0
3215.3203125,128
3216.11328125,128
3216.90625,128
3217.6796875,128
3218.4140625,128
3219.125,128
3219.95703125,0
3221.12109375,128
3222.1015625,0
3223.21875,128
3224.41015625,128
3225.5234375,128
3226.51171875,0
3227.59375,128
3228.71875,0
3229.74609375,0
3230.828125,0
3231.81640625,0
3232.609375,128
3233.34765625,128
3234.125,128
3235.20703125,0
3236.55859375,0
3237.73046875,0
3238.8671875,0
3239.91015625,0
3240.8984375,0
3241.80078125,0
3242.6171875,128
3243.46484375,128
3244.33984375,0
3245.28515625,0
3246.1953125,0
3247.1328125,0
3248.04296875,0
3248.90234375,0
3249.6953125,0
3250.48828125,0
3251.29296875,0
3252.09765625,0
3252.90234375,0
3253.89453125,0
3254.87890625,0
3255.796875,0
3256.62109375,0
3257.47265625,0
3258.375,0
3259.21484375,0
3260.03515625,0
3260.953125,0
3261.8828125,0
3262.79296875,0
3263.703125,0
3264.63671875,0
3265.54296875,0
3266.3984375,0
3267.33203125,0
3268.34765625,0
3269.40625,0
3270.49609375,0
3271.4921875,0
3272.5,0
3273.5390625,0
3274.46875,0
3275.390625,0
3276.36328125,0
3277.3671875,0
3278.296875,0
3279.2578125,0
3280.3671875,0
3281.40234375,0
3282.3671875,0
3283.5,0
3284.51953125,0
3285.51171875,0
3286.62890625,0
3287.765625,0
3288.72265625,0
3289.64453125,0
3290.60546875,0
3291.6171875,0
3292.75,0
3293.79296875,0
3294.8828125,0
3296.015625,0
3297.0234375,0
3298.05078125,0
3299.09375,0
3300.12890625,0
3301.11328125,0
3302.1953125,0
3303.17578125,0
3304.046875,0
3304.94921875,0
3305.890625,0
3306.796875,0
3307.671875,0
3308.58984375,0
3309.39453125,0
3310.1875,0
3310.98046875,0
3311.765625,0
3312.51953125,0
3313.3828125,0
3314.29296875,0
3315.23828125,0
3316.4375,0
3317.43359375,0
3318.390625,0
3319.44140625,0
3320.6171875,0
3321.76953125,0
3322.796875,0
3323.76953125,0
3324.796875,0
3325.7890625,0
3326.84375,0
3328.1015625,0
3329.16796875,0
3330.26171875,0
3331.2421875,0
3332.05078125,128
3332.8359375,128
3333.70703125,0
3334.7578125,0
3335.6796875,0
3336.96484375,0
3338.21875,0
3339.375,0
3340.453125,0
