time [s],NN_interval [s/256](/api/datatype/318/)
17607.58984375,249
17608.5234375,239
17609.55078125,263
17611.734375,273
17613.9765625,301
17615.10546875,289
17617.19140625,273
17619.33203125,269
17621.2578125,249
17623.234375,238
17625.0,221
17625.953125,244
17628.04296875,266
17633.12109375,308
17635.48046875,301
17636.66015625,302
17637.78125,287
17638.8046875,262
17639.79296875,253
17640.77734375,252
17641.78515625,258
17642.79296875,258
17643.84375,269
17644.9453125,282
17645.99609375,269
17648.13671875,285
17650.37109375,279
17652.37890625,247
17653.34765625,248
17654.328125,251
17655.2890625,246
17656.21875,238
17657.19140625,249
17658.23046875,266
17659.2734375,267
17660.28515625,259
17661.23046875,242
17662.2109375,251
17663.19921875,253
17664.1484375,243
17665.0,218
17665.875,224
17668.77734375,235
17671.6953125,234
17673.36328125,217
17676.1796875,224
17679.03125,253
17679.9453125,234
17681.79296875,236
17682.69921875,232
17683.58203125,226
17684.453125,223
17685.37890625,237
17686.33984375,246
17687.26171875,236
17688.21875,245
17689.1796875,246
17690.13671875,245
17691.05859375,236
17692.0390625,251
17694.0859375,254
17696.1328125,270
17697.1640625,264
17699.05859375,242
17700.06640625,258
17702.203125,268
17704.08203125,241
17706.0390625,257
17706.98046875,241
17708.81640625,237
17710.87890625,255
17712.90234375,258
17713.93359375,264
17714.875,241
17715.8515625,250
17716.8359375,252
17717.83203125,255
17718.74609375,234
17719.69140625,242
17721.76953125,265
17723.70703125,257
17725.73828125,254
17727.4296875,217
17729.2109375,234
17730.0703125,220
17730.9375,222
17731.87890625,241
17733.84375,243
17735.6953125,240
17736.6640625,248
17737.62109375,245
17738.52734375,232
17739.45703125,238
17740.3671875,233
17741.3125,242
17742.23828125,237
17743.171875,239
17744.2109375,266
17745.2734375,272
17746.265625,254
17747.3203125,270
17748.35546875,265
17749.43359375,276
17750.42578125,254
17751.46875,267
17752.50390625,265
17753.55859375,270
17754.546875,253
17755.578125,264
17756.6171875,266
17757.65234375,265
17758.62890625,250
17759.671875,267
17761.7421875,255
17763.609375,248
17765.703125,271
17766.68359375,251
17767.703125,261
17768.75390625,269
17769.79296875,266
17774.609375,246
17775.60546875,255
17777.6640625,249
17779.59765625,259
17781.890625,278
17783.94140625,262
17784.94140625,256
17785.91796875,250
17786.82421875,232
17787.7421875,235
17788.68359375,241
17789.6484375,247
17790.546875,230
17791.46484375,235
17792.39453125,238
17793.34765625,244
17794.2578125,233
17795.18359375,237
17796.21484375,264
17797.25,265
17799.2109375,245
17800.16796875,245
17801.125,245
17802.08984375,247
17802.98828125,230
17803.8984375,233
17809.69921875,237
17810.55078125,218
17811.41015625,220
17814.28515625,234
17816.07421875,234
17818.0390625,255
17818.9140625,224
17821.84375,267
17822.78125,240
17825.94140625,253
17827.93359375,254
17828.8984375,247
17829.7890625,228
17830.69140625,231
17832.68359375,253
17834.66796875,265
17836.73828125,262
17838.63671875,248
17840.64453125,258
17841.578125,239
17842.5703125,254
17844.68359375,268
17846.73828125,272
17847.71484375,250
17849.51953125,218
17850.29296875,198
17851.1328125,215
17856.984375,276
17857.9609375,250
17858.91796875,245
17859.8671875,243
17860.79296875,237
17861.75390625,246
17862.73828125,252
17863.74609375,258
17864.78515625,266
17865.765625,251
17866.8125,268
17869.0234375,276
17870.96484375,236
17871.94140625,250
17873.80859375,237
17874.67578125,222
17875.5703125,229
17888.4296875,190
17889.171875,190
17889.9140625,190
17890.66796875,193
17891.4140625,191
17892.1953125,200
17893.0234375,212
17893.890625,222
17894.74609375,219
17895.8203125,275
17899.70703125,243
17901.5703125,227
17903.4296875,241
17904.33984375,233
17905.16015625,210
17906.00390625,216
17907.6796875,205
17909.28515625,212
17910.1328125,217
17910.99609375,221
17911.98828125,254
17913.015625,263
17915.8515625,242
17920.21875,287
17922.41796875,269
17924.3359375,247
17926.3359375,254
17927.29296875,245
17928.33203125,266
17930.375,257
17931.3125,240
17932.359375,268
17934.44921875,263
17935.53125,277
17936.63671875,283
17937.828125,305
17949.51953125,295
17952.421875,232
17958.1328125,302
17966.6796875,262
17967.60546875,237
17968.43359375,212
17969.22265625,202
17970.04296875,210
17970.8359375,203
17971.68359375,217
17972.58984375,232
17973.54296875,244
17974.375,213
17975.953125,206
17977.66796875,225
17978.640625,249
17979.65625,260
17980.625,248
17982.4765625,239
17984.56640625,266
18002.2421875,220
18003.109375,222
18004.1953125,278
18016.9453125,326
18022.78125,296
18025.12890625,303
18026.2890625,297
18027.40234375,285
18028.71875,337
18032.28125,334
18035.7734375,321
18041.6796875,277
18045.328125,310
18047.69921875,319
18051.16796875,320
18057.97265625,254
18061.265625,270
18063.12109375,226
18069.68359375,324
18070.9375,321
18072.140625,308
18073.36328125,313
18074.59375,315
18075.8046875,310
18076.984375,302
18078.19921875,311
18079.41015625,310
18080.6484375,317
18081.81640625,299
18083.03125,311
18084.23046875,307
18085.4296875,307
18086.5390625,284
18087.59375,270
18088.68359375,279
18090.8515625,265
18092.8515625,268
18094.96875,250
18096.83203125,245
18098.90234375,261
18099.9765625,275
18101.15234375,301
18102.265625,285
18104.28515625,268
18106.41015625,251
18108.28125,245
18110.2890625,257
18111.3203125,264
18112.40234375,277
18113.37890625,250
18115.07421875,216
18118.01953125,271
18119.08203125,272
18120.14453125,272
18121.171875,263
18122.2890625,286
18124.51171875,268
18127.8671875,273
18129.765625,251
18131.796875,249
18135.01953125,272
18137.10546875,283
18139.33984375,271
18141.5234375,298
18144.98828125,307
18147.296875,289
18148.44921875,295
18149.63671875,304
18150.80859375,300
18151.859375,269
18153.18359375,339
18158.03125,304
18160.1875,245
18164.44140625,258
18168.62890625,273
18171.54296875,235
18172.56640625,262
18174.5390625,248
18175.56640625,263
18176.56640625,256
18177.5703125,257
18178.4453125,224
18179.375,238
18184.8671875,280
18185.82421875,245
18186.98046875,296
18189.36328125,291
18191.578125,285
18192.6796875,282
18193.58984375,233
18194.63671875,268
18197.0390625,299
18199.43359375,344
18202.40234375,241
18204.2265625,224
18205.0625,214
18210.28125,264
18212.0625,225
18218.12109375,287
18219.30859375,304
18221.80859375,321
18223.0390625,315
18224.33984375,333
18225.6015625,323
18226.8125,310
18227.98046875,299
18229.0625,277
18230.140625,276
18235.9765625,304
18239.37890625,296
18240.53125,295
18241.73828125,309
18242.859375,287
18245.01171875,282
18247.234375,280
18248.27734375,267
18249.44140625,298
18258.41796875,280
18259.4765625,271
18260.46484375,253
18261.625,297
18266.19921875,310
18270.77734375,300
18274.10546875,292
18276.34375,277
18277.453125,284
18279.8984375,295
18282.14453125,300
18287.4765625,262
18298.125,234
18299.0546875,238
18302.140625,263
18303.45703125,337
18314.109375,331
18318.875,297
18319.92578125,269
18320.96875,267
18328.23828125,317
18332.65234375,263
18333.82421875,300
18336.15234375,280
18347.34375,259
18348.6484375,334
18354.98828125,332
18357.40234375,313
18359.7578125,287
18361.70703125,261
18370.15625,290
18372.26953125,265
18373.43359375,298
18379.13671875,280
18381.34375,303
18386.765625,250
18392.15625,296
18395.40625,279
18397.83203125,288
18399.89453125,273
18402.234375,276
18404.4609375,304
18407.8671875,309
18413.4296875,288
18415.70703125,312
18420.4453125,312
18423.70703125,284
18425.91015625,274
18427.12890625,312
18430.4609375,273
18431.5625,282
18433.7421875,261
18437.41796875,305
18439.6328125,292
18441.84375,270
18449.5546875,286
18450.5703125,260
18451.71875,294
18457.27734375,282
18459.3046875,268
18461.37890625,254
18464.6484375,273
18466.62109375,264
18468.7109375,255
18470.6796875,260
18472.76171875,262
18473.8671875,283
18475.00390625,291
18476.1796875,301
18477.19921875,261
18478.43359375,316
18485.17578125,273
18486.43359375,322
18492.03515625,259
18493.15625,287
18495.41796875,277
18497.54296875,287
18500.78125,284
18503.01171875,276
18505.08984375,274
18507.25390625,267
18509.4296875,282
18510.52734375,281
18511.5,249
18512.59765625,281
18514.86328125,278
18517.0,284
18519.125,267
18520.2734375,294
18522.6015625,290
18524.8515625,308
18529.4296875,285
18530.5390625,284
18531.62109375,277
18532.859375,317
18538.5546875,285
18540.5859375,275
18542.8515625,283
18544.921875,275
18547.14453125,282
18549.25390625,278
18551.53515625,290
18553.6796875,295
18556.91796875,276
18559.3046875,314
18560.37109375,273
18563.83203125,278
18565.86328125,268
18567.94140625,248
18571.16015625,269
