time [s],inspiration [s](/api/datatype/34/)
15062.0625,26935
15065.3359375,26920
15069.2109375,26943
15072.5859375,26952
15077.1015625,26916
15080.4296875,26906
15084.6171875,26906
15089.4921875,26902
15092.890625,26896
15097.1953125,26914
15101.65625,26904
15105.8515625,26901
15110.2734375,26905
15115.359375,26904
15120.3203125,26904
15124.796875,26912
15130.21875,27010
15134.4921875,26926
15138.5859375,26974
15140.59375,26970
15145.7265625,26967
15151.390625,26919
15155.03125,26916
15159.453125,26915
15164.5078125,26948
15167.7734375,26978
15170.1015625,26927
15174.8125,26939
15179.8984375,26942
15183.8515625,26979
15188.6171875,26888
15193.3046875,26889
15198.4375,26896
15203.96875,26909
15209.2890625,26968
15212.8515625,26982
15218.953125,27041
15221.6328125,26999
15226.984375,27017
15232.0,27033
15234.0859375,27003
15240.65625,27044
15244.75,27060
15248.1640625,26984
15254.5234375,27001
15259.09375,27013
15266.0546875,27054
15270.890625,27062
15291.0,27016
15297.765625,27007
15301.6640625,27006
15310.0859375,26997
15313.71875,26996
15317.90625,27000
15325.546875,26988
15332.1796875,27039
15342.65625,26986
15346.5703125,26988
15350.4609375,26987
15356.53125,26981
15361.2890625,26988
15365.9765625,26999
15369.9765625,27015
15373.734375,27011
15377.6171875,27009
15381.515625,27009
15385.640625,27007
15388.0859375,26997
15399.5703125,27013
15407.5390625,27073
15412.1796875,27069
15427.3984375,27030
15433.2421875,27063
15437.4453125,27067
15454.4609375,26996
15467.3125,27000
15477.640625,27020
15484.625,26996
15499.6484375,26988
15503.6796875,26988
15508.953125,26987
15513.4375,26987
15517.59375,26992
15521.4453125,26992
15525.71875,26992
15530.0546875,27001
15534.796875,26995
15538.9375,26994
15542.828125,26996
15547.171875,27008
15549.2890625,26989
15555.8203125,27078
15559.171875,27016
15592.7578125,26985
15596.3984375,26993
15605.28125,27035
15613.34375,26980
15630.8046875,26998
15639.59375,26963
15648.3515625,26971
15652.15625,26972
15658.1171875,26996
15662.5390625,26983
15667.0078125,26946
15671.5859375,26961
15675.84375,26962
15680.0390625,26958
15683.53125,26951
15688.4453125,26955
15691.84375,26961
15697.3046875,26902
15701.3828125,26965
15705.1953125,26961
15709.3671875,26960
15714.5,26973
15717.421875,26961
15722.6640625,26916
15729.78125,26934
15736.0078125,26901
15740.1875,26898
15744.0859375,26907
15748.25,26890
15752.453125,26890
15755.1640625,26902
15759.4375,26896
15763.7421875,26897
15767.4921875,26893
15771.6328125,26892
15775.7421875,26892
15779.109375,26893
15783.2734375,26894
15786.984375,26928
15790.0703125,26899
15794.8203125,26901
15798.9296875,26899
15801.796875,26898
15806.90625,26896
15810.1875,26896
15814.3359375,26897
15818.40625,26899
15822.5859375,26901
15825.9921875,26898
15830.2890625,26906
15833.1875,26907
15837.828125,26897
15841.609375,26899
15845.2734375,26898
15849.0546875,26896
15853.3125,26890
15857.2109375,26894
15864.1875,26958
15868.8515625,26906
15873.5703125,26968
15880.546875,27008
15887.984375,26947
15891.8125,26898
15899.4765625,26946
15906.75,26985
15909.21875,26961
15921.15625,26918
15926.2578125,26917
15930.3515625,26906
15934.4140625,26912
15938.515625,26909
15942.1484375,26909
15945.59375,26998
15952.46875,26903
15956.546875,26902
15960.671875,26904
15964.4140625,26902
15968.3828125,26893
15973.6015625,26895
15977.9921875,26896
15981.2734375,26895
15985.390625,26896
15989.0078125,26916
15993.0703125,26905
16006.0,26957
16009.96875,26984
16014.3359375,26995
16016.6328125,26994
16021.640625,27036
16032.0,27000
16035.9375,26993
16050.046875,26915
16076.5234375,26909
16080.4921875,26914
16088.484375,26910
16096.84375,26911
16104.2421875,26911
16112.125,26914
16120.6640625,26909
16124.7265625,26909
16129.9765625,26911
16134.1640625,26908
16137.6875,26904
16141.4765625,26905
16146.1015625,26904
16150.2265625,26912
16154.1953125,26907
16157.9921875,26902
16161.90625,26910
16165.8515625,26910
16169.8984375,26907
16174.65625,26910
16178.9453125,26911
16182.1640625,26913
16186.4921875,26908
16191.2109375,26909
16195.6484375,26914
16199.765625,26910
16204.6953125,26907
16209.1328125,26902
16212.7265625,26903
16217.5625,26906
16221.234375,26905
16225.859375,26917
16229.765625,26913
16233.6171875,26913
16238.546875,26918
16242.8828125,26908
16247.0703125,26911
16251.96875,26913
16256.1484375,26909
16260.5,26908
16264.5,26910
16268.7890625,26911
16272.515625,26912
16275.7421875,26905
16280.3359375,26917
16284.0390625,26905
16288.0859375,26907
16292.34375,26908
16297.046875,26906
16301.5859375,26905
16306.0078125,26898
16310.1875,26899
16314.0,26900
16317.796875,26902
16321.5703125,26900
16325.5078125,26929
16327.484375,26929
16331.9296875,26985
16337.4609375,26939
16339.734375,26878
16345.1171875,26928
16346.8828125,26913
16351.1875,26976
16358.2421875,26965
16365.171875,26859
16376.8125,26931
16382.09375,26934
16401.3359375,26903
16406.3515625,26900
16410.640625,26895
16414.28125,26894
16418.4453125,26895
16422.15625,26893
16426.40625,26895
16430.203125,26895
16434.28125,26891
16440.40625,26862
16448.0234375,26878
16452.2578125,26895
16463.078125,26891
16467.84375,26898
16493.9140625,26893
16500.8125,26875
16504.65625,26880
16515.9140625,26882
16520.0,26879
16524.3671875,26878
