time [s],minute_ventilation_raw [ml/min] (/api/datatype/36/)
7981.00000000,2855.20000
7982.00000000,2855.20000
7983.00000000,2855.20000
7984.00000000,2855.20000
7985.00000000,2855.20000
7986.00000000,2855.20000
7987.00000000,2855.20000
7988.00000000,2855.20000
7989.00000000,2855.20000
7990.00000000,2855.20000
7991.00000000,2324.00000
7992.00000000,2324.00000
7993.00000000,2324.00000
7994.00000000,2324.00000
7995.00000000,2337.28000
7996.00000000,2337.28000
7997.00000000,2337.28000
7998.00000000,2337.28000
7999.00000000,2337.28000
8000.00000000,2138.08000
8001.00000000,2138.08000
8002.00000000,2138.08000
8003.00000000,2138.08000
8004.00000000,2138.08000
8005.00000000,2138.08000
8006.00000000,2138.08000
8007.00000000,1885.76000
8008.00000000,1885.76000
8009.00000000,1885.76000
8010.00000000,1885.76000
8011.00000000,1885.76000
8012.00000000,1885.76000
8013.00000000,1885.76000
8014.00000000,1885.76000
8015.00000000,1885.76000
8016.00000000,1885.76000
8017.00000000,1885.76000
8018.00000000,1885.76000
8019.00000000,1128.80000
8020.00000000,1128.80000
8021.00000000,1128.80000
8022.00000000,1128.80000
8023.00000000,1128.80000
8024.00000000,1128.80000
8025.00000000,1128.80000
8026.00000000,1248.32000
8027.00000000,1248.32000
8028.00000000,1248.32000
8029.00000000,1248.32000
8030.00000000,1248.32000
8031.00000000,1248.32000
8032.00000000,1248.32000
8033.00000000,1248.32000
8034.00000000,1248.32000
8035.00000000,1248.32000
8036.00000000,1248.32000
8037.00000000,1248.32000
8038.00000000,1248.32000
8039.00000000,1181.92000
8040.00000000,1181.92000
8041.00000000,1181.92000
8042.00000000,1181.92000
8043.00000000,1513.92000
8044.00000000,1513.92000
8045.00000000,1513.92000
8046.00000000,1513.92000
8047.00000000,1513.92000
8048.00000000,1646.72000
8049.00000000,1646.72000
8050.00000000,1646.72000
8051.00000000,1646.72000
8052.00000000,1646.72000
8053.00000000,2058.40000
8054.00000000,2058.40000
8055.00000000,2058.40000
8056.00000000,2058.40000
8057.00000000,2058.40000
8058.00000000,2058.40000
8059.00000000,2058.40000
8060.00000000,2058.40000
8061.00000000,2058.40000
8062.00000000,2058.40000
8063.00000000,2297.44000
8064.00000000,2297.44000
8065.00000000,2297.44000
8066.00000000,2297.44000
8067.00000000,2297.44000
8068.00000000,2297.44000
8069.00000000,2297.44000
8070.00000000,2576.32000
8071.00000000,2576.32000
8072.00000000,2576.32000
8073.00000000,2576.32000
8074.00000000,3320.00000
8075.00000000,3320.00000
8076.00000000,3320.00000
8077.00000000,4435.52000
8078.00000000,4435.52000
8079.00000000,4435.52000
8080.00000000,4435.52000
8081.00000000,4555.04000
8082.00000000,4555.04000
8083.00000000,4555.04000
8084.00000000,4555.04000
8085.00000000,4555.04000
8086.00000000,4833.92000
8087.00000000,4833.92000
8088.00000000,4833.92000
8089.00000000,4833.92000
8090.00000000,4833.92000
8091.00000000,4833.92000
8092.00000000,4833.92000
8093.00000000,4262.88000
8094.00000000,4262.88000
8095.00000000,4262.88000
8096.00000000,4262.88000
8097.00000000,4262.88000
8098.00000000,4541.76000
8099.00000000,4541.76000
8100.00000000,4541.76000
8101.00000000,4541.76000
8102.00000000,4541.76000
8103.00000000,4541.76000
8104.00000000,4541.76000
8105.00000000,4541.76000
8106.00000000,5179.20000
8107.00000000,5179.20000
8108.00000000,5179.20000
8109.00000000,5179.20000
8110.00000000,5179.20000
8111.00000000,5179.20000
8112.00000000,5179.20000
8113.00000000,5179.20000
8114.00000000,5179.20000
8115.00000000,4183.20000
8116.00000000,4183.20000
8117.00000000,4183.20000
8118.00000000,4183.20000
8119.00000000,4183.20000
8120.00000000,4183.20000
8121.00000000,4183.20000
8122.00000000,4183.20000
8123.00000000,3426.24000
8124.00000000,3426.24000
8125.00000000,3426.24000
8126.00000000,3426.24000
8127.00000000,3426.24000
