time [s],inspiration_epoch [na] (/api/datatype/34/)
9803.00000000,16138
9814.00000000,16138
9823.00000000,16138
9831.00000000,16140
9839.00000000,16139
9842.00000000,16137
9849.00000000,16135
9857.00000000,16135
9859.00000000,16134
9867.00000000,16142
9873.00000000,16138
9877.00000000,16138
9881.00000000,16146
9884.00000000,16145
9888.00000000,16137
9892.00000000,16136
9895.00000000,16159
9897.00000000,16164
9900.00000000,16168
9905.00000000,16167
9914.00000000,16164
9918.00000000,16163
9924.00000000,16163
9926.00000000,16162
9930.00000000,16147
9937.00000000,16085
9942.00000000,16089
9945.00000000,16100
9948.00000000,16106
9950.00000000,16117
9954.00000000,16098
9956.00000000,16112
9960.00000000,16118
9962.00000000,16091
9965.00000000,16118
9968.00000000,16090
9970.00000000,16097
9971.00000000,16099
9973.00000000,16078
9975.00000000,16092
9977.00000000,16108
9979.00000000,16088
9980.00000000,16079
9983.00000000,16080
9984.00000000,16082
9986.00000000,16123
9987.00000000,16111
9988.00000000,16097
9989.00000000,16104
9991.00000000,16093
9992.00000000,16091
9993.00000000,16098
9994.00000000,16085
9994.00000000,16097
9995.00000000,16088
9995.00000000,16096
9996.00000000,16095
9996.00000000,16098
9997.00000000,16100
9997.00000000,16112
9998.00000000,16120
9999.00000000,16109
9999.00000000,16112
10000.00000000,16109
10000.00000000,16109
10001.00000000,16103
10001.00000000,16103
10002.00000000,16101
10003.00000000,16106
10003.00000000,16092
10004.00000000,16096
10004.00000000,16114
10005.00000000,16107
10006.00000000,16104
10006.00000000,16088
10007.00000000,16106
10008.00000000,16113
10009.00000000,16105
10009.00000000,16096
10010.00000000,16105
10011.00000000,16113
10011.00000000,16099
10012.00000000,16101
10013.00000000,16104
10013.00000000,16092
10014.00000000,16097
10015.00000000,16101
10015.00000000,16093
10016.00000000,16100
10016.00000000,16091
10017.00000000,16102
10018.00000000,16101
10018.00000000,16092
10019.00000000,16097
10019.00000000,16082
10020.00000000,16100
10020.00000000,16082
10021.00000000,16093
10021.00000000,16087
10022.00000000,16107
10023.00000000,16102
10023.00000000,16090
10024.00000000,16096
10025.00000000,16090
10025.00000000,16107
10026.00000000,16101
10027.00000000,16093
10027.00000000,16108
10028.00000000,16102
10029.00000000,16089
10029.00000000,16106
10030.00000000,16115
10031.00000000,16098
10032.00000000,16080
10033.00000000,16091
10039.00000000,16091
10041.00000000,16091
10045.00000000,16097
10050.00000000,16104
10053.00000000,16110
10055.00000000,16107
10057.00000000,16105
10058.00000000,16092
10061.00000000,16104
10063.00000000,16108
10065.00000000,16102
10066.00000000,16095
10067.00000000,16100
10070.00000000,16095
10071.00000000,16086
10073.00000000,16117
10077.00000000,16304
10078.00000000,16306
10079.00000000,16295
10081.00000000,16265
10085.00000000,16221
10089.00000000,16202
10091.00000000,16204
10093.00000000,16206
10095.00000000,16200
10096.00000000,16195
10098.00000000,16187
10099.00000000,16184
10100.00000000,16186
10101.00000000,16191
10102.00000000,16186
10103.00000000,16192
10104.00000000,16198
10105.00000000,16199
10106.00000000,16199
10107.00000000,16192
10108.00000000,16166
10112.00000000,16187
10113.00000000,16194
10114.00000000,16191
10115.00000000,16189
10115.00000000,16184
10116.00000000,16192
10117.00000000,16193
10118.00000000,16187
10119.00000000,16191
10120.00000000,16188
10121.00000000,16187
10122.00000000,16185
10123.00000000,16183
10124.00000000,16189
10125.00000000,16182
10126.00000000,16184
10127.00000000,16184
10128.00000000,16183
10129.00000000,16184
10130.00000000,16188
10131.00000000,16186
10132.00000000,16182
10133.00000000,16178
10134.00000000,16170
10137.00000000,16166
10139.00000000,16171
10140.00000000,16179
10142.00000000,16168
10143.00000000,16168
10145.00000000,16168
10146.00000000,16178
10149.00000000,16171
10152.00000000,16172
10159.00000000,16179
10164.00000000,16173
10169.00000000,16175
10174.00000000,16183
10179.00000000,16173
10181.00000000,16174
10184.00000000,16170
10188.00000000,16172
10193.00000000,16172
10209.00000000,16170
10215.00000000,16175
10230.00000000,16179
10237.00000000,16185
10242.00000000,16183
10247.00000000,16177
10251.00000000,16172
10256.00000000,16179
10262.00000000,16178
10265.00000000,16176
10271.00000000,16176
10278.00000000,16173
10281.00000000,16180
10284.00000000,16176
10288.00000000,16168
10292.00000000,16175
10298.00000000,16169
10303.00000000,16174
10310.00000000,16173
10323.00000000,16174
10333.00000000,16173
10351.00000000,16178
10358.00000000,16179
10372.00000000,16178
10382.00000000,16184
10395.00000000,16185
10402.00000000,16185
10413.00000000,16183
10421.00000000,16184
10430.00000000,16169
10440.00000000,16173
10453.00000000,16177
10462.00000000,16172
10468.00000000,16169
10473.00000000,16170
10477.00000000,16166
10484.00000000,16227
10490.00000000,16180
10494.00000000,16181
10497.00000000,16181
10499.00000000,16179
10503.00000000,16172
10506.00000000,16177
10508.00000000,16180
10510.00000000,16179
10512.00000000,16179
10514.00000000,16173
10516.00000000,16168
10517.00000000,16169
10518.00000000,16176
10519.00000000,16173
10520.00000000,16154
10521.00000000,16151
10522.00000000,16160
10523.00000000,16168
10524.00000000,16177
10525.00000000,16181
10526.00000000,16176
10527.00000000,16168
10528.00000000,16184
10529.00000000,16175
10530.00000000,16176
10531.00000000,16178
10532.00000000,16173
10533.00000000,16175
10534.00000000,16184
10535.00000000,16177
10536.00000000,16180
10537.00000000,16177
