time [s],heart_rate [bpm] (/api/datatype/19/)
28101.00000000,79
28102.00000000,79
28103.00000000,89
28104.00000000,85
28105.00000000,85
28106.00000000,84
28107.00000000,84
28108.00000000,83
28109.00000000,81
28110.00000000,81
28111.00000000,79
28112.00000000,77
28113.00000000,75
28114.00000000,73
28115.00000000,73
28116.00000000,69
28117.00000000,68
28118.00000000,68
28119.00000000,70
28120.00000000,70
28121.00000000,77
28122.00000000,80
28123.00000000,80
28124.00000000,80
28125.00000000,87
28126.00000000,87
28127.00000000,79
28128.00000000,79
28129.00000000,83
28130.00000000,93
28131.00000000,84
28132.00000000,84
28133.00000000,83
28134.00000000,86
28135.00000000,86
28136.00000000,86
28137.00000000,78
28138.00000000,78
28139.00000000,78
28140.00000000,78
28141.00000000,78
28142.00000000,78
28143.00000000,81
28144.00000000,89
28145.00000000,88
28146.00000000,80
28147.00000000,80
28148.00000000,89
28149.00000000,85
28150.00000000,88
28151.00000000,89
28152.00000000,89
28153.00000000,86
28154.00000000,85
28155.00000000,83
28156.00000000,83
28157.00000000,83
28158.00000000,83
28159.00000000,79
28160.00000000,79
28161.00000000,77
28162.00000000,77
28163.00000000,77
28164.00000000,78
28165.00000000,78
28166.00000000,81
28167.00000000,78
28168.00000000,78
28169.00000000,81
28170.00000000,83
28171.00000000,80
28172.00000000,78
28173.00000000,81
28174.00000000,81
28175.00000000,82
28176.00000000,80
28177.00000000,78
28178.00000000,78
28179.00000000,78
28180.00000000,81
28181.00000000,84
28182.00000000,83
28183.00000000,84
28184.00000000,84
28185.00000000,84
28186.00000000,86
28187.00000000,86
28188.00000000,94
28189.00000000,90
28190.00000000,93
28191.00000000,93
28192.00000000,99
28193.00000000,107
28194.00000000,104
28195.00000000,111
28196.00000000,112
28197.00000000,101
28198.00000000,101
28199.00000000,100
28200.00000000,100
28201.00000000,97
28202.00000000,85
28203.00000000,85
28204.00000000,80
28205.00000000,85
28206.00000000,83
28207.00000000,72
28208.00000000,72
28209.00000000,72
28210.00000000,71
28211.00000000,73
28212.00000000,73
28213.00000000,73
28214.00000000,73
28215.00000000,73
28216.00000000,79
28217.00000000,83
28218.00000000,91
28219.00000000,88
28220.00000000,85
28221.00000000,83
28222.00000000,80
28223.00000000,80
28224.00000000,84
28225.00000000,84
28226.00000000,82
28227.00000000,81
28228.00000000,80
28229.00000000,80
28230.00000000,80
28231.00000000,83
28232.00000000,82
28233.00000000,82
28234.00000000,75
28235.00000000,76
28236.00000000,80
28237.00000000,82
28238.00000000,84
28239.00000000,84
28240.00000000,87
28241.00000000,87
28242.00000000,91
28243.00000000,91
28244.00000000,91
28245.00000000,89
28246.00000000,90
28247.00000000,90
28248.00000000,87
28249.00000000,87
28250.00000000,87
28251.00000000,86
28252.00000000,86
28253.00000000,86
28254.00000000,86
28255.00000000,86
28256.00000000,87
28257.00000000,87
28258.00000000,88
28259.00000000,86
28260.00000000,86
28261.00000000,86
28262.00000000,89
28263.00000000,87
28264.00000000,87
28265.00000000,88
28266.00000000,87
28267.00000000,86
28268.00000000,87
28269.00000000,87
28270.00000000,88
28271.00000000,88
28272.00000000,90
28273.00000000,90
28274.00000000,92
28275.00000000,91
28276.00000000,89
28277.00000000,90
28278.00000000,89
28279.00000000,89
28280.00000000,89
28281.00000000,89
28282.00000000,92
28283.00000000,92
28284.00000000,90
28285.00000000,88
28286.00000000,88
28287.00000000,88
28288.00000000,88
28289.00000000,86
28290.00000000,86
28291.00000000,81
28292.00000000,83
28293.00000000,86
28294.00000000,87
28295.00000000,83
28296.00000000,83
28297.00000000,82
28298.00000000,82
28299.00000000,84
28300.00000000,85
28301.00000000,85
28302.00000000,72
28303.00000000,77
28304.00000000,76
28305.00000000,79
28306.00000000,79
28307.00000000,81
28308.00000000,85
28309.00000000,85
28310.00000000,86
28311.00000000,87
28312.00000000,92
28313.00000000,97
28314.00000000,96
28315.00000000,95
28316.00000000,96
28317.00000000,96
28318.00000000,93
28319.00000000,99
28320.00000000,98
28321.00000000,97
28322.00000000,97
28323.00000000,91
28324.00000000,91
28325.00000000,91
28326.00000000,90
28327.00000000,86
28328.00000000,84
28329.00000000,78
28330.00000000,77
28331.00000000,77
28332.00000000,73
28333.00000000,73
28334.00000000,74
28335.00000000,72
28336.00000000,72
28337.00000000,72
28338.00000000,72
28339.00000000,72
28340.00000000,72
28341.00000000,72
28342.00000000,71
28343.00000000,71
28344.00000000,69
28345.00000000,69
28346.00000000,74
28347.00000000,75
28348.00000000,77
28349.00000000,77
28350.00000000,77
28351.00000000,75
28352.00000000,65
28353.00000000,65
28354.00000000,71
28355.00000000,64
28356.00000000,64
28357.00000000,65
28358.00000000,65
28359.00000000,62
28360.00000000,62
28361.00000000,61
28362.00000000,61
28363.00000000,61
28364.00000000,57
28365.00000000,57
28366.00000000,57
28367.00000000,54
28368.00000000,54
28369.00000000,66
28370.00000000,57
28371.00000000,57
28372.00000000,64
28373.00000000,64
28374.00000000,63
28375.00000000,60
28376.00000000,60
28377.00000000,60
28378.00000000,65
28379.00000000,65
28380.00000000,64
28381.00000000,64
28382.00000000,67
28383.00000000,67
28384.00000000,69
28385.00000000,63
28386.00000000,65
28387.00000000,67
28388.00000000,67
28389.00000000,69
28390.00000000,69
28391.00000000,73
28392.00000000,73
28393.00000000,75
28394.00000000,72
28395.00000000,74
28396.00000000,75
28397.00000000,80
28398.00000000,80
28399.00000000,80
28400.00000000,79
28401.00000000,79
28402.00000000,79
28403.00000000,79
28404.00000000,80
28405.00000000,81
28406.00000000,82
28407.00000000,74
28408.00000000,74
28409.00000000,78
28410.00000000,72
28411.00000000,72
28412.00000000,71
28413.00000000,71
28414.00000000,71
28415.00000000,71
28416.00000000,71
28417.00000000,71
28418.00000000,71
28419.00000000,71
28420.00000000,71
28421.00000000,71
28422.00000000,71
28423.00000000,71
28424.00000000,71
28425.00000000,71
28426.00000000,71
28427.00000000,71
28428.00000000,71
28429.00000000,71
28430.00000000,71
28431.00000000,71
28432.00000000,71
28433.00000000,71
28434.00000000,71
28435.00000000,71
28436.00000000,71
28437.00000000,71
